Date,Price,Open,High,Low
2017-12-04,121.18,121.150.002,121.199.997,120.839.996
2017-12-01,121.589.996,120.940.002,122.43,120.739.998
2017-11-30,121.099.998,121.440.002,121.699.997,120.639.999
2017-11-29,122.040.001,122.239.998,122.330.002,121.739.998
2017-11-28,122.809.998,123.050.003,123.169.998,122.529.999
2017-11-27,122.830.002,123.260.002,123.330.002,122.669.998
2017-11-24,122.32,122.360.001,122.610.001,122.220.001
2017-11-22,122.629.997,122.260.002,122.949.997,122.169.998
2017-11-21,121.510.002,121.669.998,122.0,121.5
2017-11-20,121.309.998,122.300.003,122.410.004,121.040.001
2017-11-17,122.860.001,122.150.002,123.169.998,121.949.997
2017-11-16,121.400.002,121.449.997,121.709.999,121.290.001
2017-11-15,121.410.004,122.129.997,122.360.001,121.25
2017-11-14,121.559.998,120.900.002,121.910.004,120.769.997
2017-11-13,121.309.998,121.43,121.550.003,121.269.997
2017-11-10,121.129.997,121.989.998,122.110.001,120.940.002
2017-11-09,122.129.997,121.849.998,122.410.004,121.730.003
2017-11-08,121.629.997,121.949.997,122.25,121.589.996
2017-11-07,121.209.999,121.510.002,121.559.998,120.779.999
2017-11-06,121.650.002,120.720.001,121.849.998,120.68
2017-11-03,120.620.003,121.360.001,121.43,120.18
2017-11-02,121.190.002,121.290.001,121.959.999,121.050.003
2017-11-01,121.110.001,120.980.003,121.550.003,120.839.996
2017-10-31,120.669.998,120.82,120.839.996,120.379.997
2017-10-30,121.129.997,120.379.997,121.470.001,120.379.997
2017-10-27,120.900.002,120.379.997,120.989.998,120.209.999
2017-10-26,120.330.002,121.160.004,121.160.004,120.220.001
2017-10-25,121.349.998,121.309.998,121.589.996,120.839.996
2017-10-24,121.330.002,121.260.002,121.709.999,120.980.003
2017-10-23,121.800.003,120.980.003,121.900.002,120.959.999
2017-10-20,121.610.001,121.68,121.980.003,121.389.999
2017-10-19,122.389.999,122.199.997,122.550.003,122.110.001
2017-10-18,121.669.998,121.709.999,121.940.002,121.550.003
2017-10-17,122.129.997,122.029.999,122.32,121.730.003
2017-10-16,122.970.001,123.82,123.970.001,122.57
2017-10-13,123.82,123.660.004,123.860.001,123.339.996
2017-10-12,122.889.999,122.839.996,123.040.001,122.5
2017-10-11,122.790.001,122.57,122.879.997,122.029.999
2017-10-10,122.400.002,122.620.003,122.970.001,122.360.001
2017-10-09,122.080.002,121.639.999,122.110.001,121.550.003
2017-10-06,121.089.996,120.260.002,121.209.999,119.779.999
2017-10-05,120.519.997,121.150.002,121.239.998,120.400.002
2017-10-04,121.169.998,121.209.999,121.269.997,120.709.999
2017-10-03,120.830.002,120.720.001,121.099.998,120.699.997
2017-09-29,121.580.002,122.290.001,122.300.003,121.550.003
2017-09-28,122.209.999,122.040.001,122.480.003,121.830.002
2017-09-27,121.980.003,122.040.001,122.510.002,121.879.997
2017-09-26,123.139.999,123.57,123.809.998,122.900.002
2017-09-25,124.529.999,122.779.999,124.660.004,122.709.999
2017-09-22,123.239.998,123.029.999,123.389.999,122.93
2017-09-21,122.68,122.559.998,123.07,122.489.998
2017-09-20,123.620.003,124.68,125.059.998,123.150.002
2017-09-19,124.620.003,124.489.998,124.650.002,124.029.999
2017-09-18,124.360.001,124.709.999,124.760.002,123.970.001
2017-09-15,125.529.999,125.989.998,125.989.998,125.410.004
2017-09-14,126.160.004,125.660.004,126.440.002,125.620.003
2017-09-13,125.610.001,126.400.002,126.449.997,125.5
2017-09-12,126.559.998,126.029.999,126.589.996,125.940.002
2017-09-11,126.190.002,126.739.998,126.940.002,126.050.003
2017-09-08,127.970.001,12.821.000.700.000.000,128.300.003,127.589.996
2017-09-07,128.130.005,127.559.998,128.320.007,127.389.999
2017-09-06,126.809.998,127.339.996,127.440.002,126.550.003
2017-09-05,127.459.999,126.650.002,127.779.999,126.57
2017-09-01,126.059.998,126.010.002,126.169.998,125.120.003
2017-08-31,125.82,124.580.002,125.839.996,124.550.003
2017-08-30,124.360.001,124.330.002,124.620.003,124.160.004
2017-08-29,124.419.998,125.809.998,125.870.003,124.050.003
2017-08-28,124.690.002,123.330.002,124.730.003,123.330.002
2017-08-25,122.739.998,122.769.997,123.019.997,121.290.001
2017-08-24,122.290.001,122.389.999,122.639.999,122.129.997
2017-08-23,122.669.998,122.580.002,122.690.002,122.309.998
2017-08-22,122.209.999,122.559.998,122.559.998,121.849.998
2017-08-21,122.760.002,122.540.001,122.980.003,122.5
2017-08-18,122.300.003,123.370.003,123.540.001,122.0
2017-08-17,122.489.998,122.290.001,122.610.001,121.760.002
2017-08-16,121.870.003,120.660.004,122.059.998,120.660.004
2017-08-14,121.919.998,121.980.003,122.239.998,121.68
2017-08-11,122.790.001,122.239.998,122.830.002,122.029.999
2017-08-10,122.209.999,122.080.002,122.440.002,122.029.999
2017-08-09,121.309.998,121.019.997,121.550.003,120.760.002
2017-08-08,119.860.001,120.019.997,120.120.003,118.970.001
2017-08-07,119.510.002,119.43,119.790.001,119.43
2017-08-04,119.650.002,119.970.001,120.040.001,119.220.001
2017-08-03,120.589.996,120.309.998,120.830.002,120.309.998
2017-08-02,120.400.002,120.510.002,121.019.997,120.339.996
2017-08-01,120.650.002,120.440.002,121.139.999,120.440.002
2017-07-31,120.75,120.5,120.809.998,120.449.997
2017-07-28,120.690.002,120.150.002,120.860.001,120.139.999
2017-07-27,119.790.001,120.099.998,120.139.999,119.279.999
2017-07-26,119.879.997,118.57,120.150.002,118.550.003
2017-07-25,118.919.998,118.989.998,119.32,118.790.001
2017-07-24,119.309.998,119.519.997,119.580.002,119.18
2017-07-21,119.260.002,119.0,119.389.999,118.75
2017-07-20,118.239.998,117.919.998,118.620.003,117.660.004
2017-07-19,118.080.002,118.18,118.269.997,117.839.996
2017-07-18,118.110.001,117.989.998,118.330.002,117.879.997
2017-07-17,117.290.001,117.419.998,117.529.999,117.230.003
2017-07-14,116.769.997,117.040.001,117.25,116.639.999
2017-07-13,115.82,116.040.001,116.040.001,115.669.998
2017-07-12,116.029.999,116.209.999,116.330.002,115.870.003
2017-07-11,115.620.003,115.260.002,115.769.997,114.879.997
2017-07-10,115.470.001,115.019.997,115.57,114.830.002
2017-07-07,115.279.999,115.779.999,115.790.001,114.800.003
2017-07-06,116.470.001,116.580.002,116.610.001,116.239.998
2017-07-05,116.519.997,115.910.004,116.669.998,115.870.003
2017-07-03,116.089.996,116.540.001,116.849.998,115.940.002
2017-06-30,118.019.997,118.080.002,118.410.004,117.949.997
2017-06-29,118.32,117.970.001,118.639.999,117.910.004
2017-06-28,118.900.002,119.059.998,119.059.998,118.690.002
2017-06-27,118.809.998,118.870.003,119.050.003,118.480.003
2017-06-26,118.360.001,118.290.001,118.540.001,118.169.998
2017-06-23,119.43,119.650.002,119.660.004,119.309.998
2017-06-22,118.919.998,119.129.997,119.199.997,118.599.998
2017-06-21,118.519.997,118.150.002,118.660.004,118.150.002
2017-06-20,118.18,118.419.998,118.459.999,118.07
2017-06-19,118.43,118.739.998,118.839.996,118.330.002
2017-06-16,119.339.996,119.349.998,119.5,119.239.998
2017-06-15,119.32,119.220.001,119.5,119.129.997
2017-06-14,119.82,121.510.002,121.879.997,119.57
2017-06-13,120.480.003,119.949.997,120.709.999,119.919.998
2017-06-12,120.360.001,120.330.002,120.690.002,120.269.997
2017-06-09,120.540.001,120.459.999,120.910.004,120.400.002
2017-06-08,121.650.002,122.07,122.080.002,120.949.997
2017-06-07,122.449.997,122.790.001,123.160.004,122.019.997
2017-06-06,123.099.998,123.089.996,123.309.998,122.769.997
2017-06-05,121.730.003,121.910.004,121.940.002,121.580.002
2017-06-02,121.610.001,121.309.998,121.709.999,121.190.002
2017-06-01,120.720.001,120.169.998,120.739.998,120.059.998
2017-05-31,120.620.003,120.309.998,121.230.003,120.260.002
2017-05-30,120.139.999,120.239.998,120.330.002,119.949.997
2017-05-26,120.540.001,120.489.998,120.790.001,120.330.002
2017-05-25,119.480.003,119.519.997,119.699.997,119.290.001
2017-05-24,119.610.001,119.07,119.739.998,118.919.998
2017-05-23,119.139.999,120.129.997,120.190.002,118.980.003
2017-05-22,119.900.002,119.629.997,120.139.999,119.580.002
2017-05-19,119.400.002,119.389.999,119.550.003,118.879.997
